Title (auto)	DMDb: Title	SoS: Title	SoS: Original Title	Wikipedia: Title	IMDb HoH: Title	IMDb Deaf Movies: Title	IMDb Deaf Characters: Title	HollywoodSpeaks: Title	Year (auto)	DMDb: Release Date	SoS: Year	Wikipedia: Year	IMDb HoH: Year	IMDb Deaf Movies: Year	IMDb Deaf Characters: Year	HollywoodSpeaks: Year	IMDb ID (auto)	DMDb: IMDb ID	SoS: IMDb ID	IMDb HoH: IMDb ID	IMDb HoH: IMDb URL	IMDb Deaf Movies: IMDb ID	IMDb Deaf Movies: IMDb URL	IMDb Deaf Characters: IMDb ID	IMDb Deaf Characters: IMDb URL	Wikidata ID (auto)	Wikipedia: Wikidata ID	Wikipedia: Article	Wikipedia: URL	Sources	IMDb URL (auto)	Wikipedia URL (auto)	Lookup Notes (auto)	Wikipedia: Description	IMDb HoH: Description	IMDb HoH: Notes	IMDb Deaf Movies: Description	IMDb Deaf Characters: Description	DMDb: Synopsis	SoS: Summary	HollywoodSpeaks: Synopsis	DMDb: Deaf Actor	DMDb: Deaf Director	DMDb: Deaf Writer	DMDb: Deaf Editor	HollywoodSpeaks: Deaf Characters	DMDb: Category	SoS: Tags	SoS: Format	DMDb: Genre	DMDb: Duration	HollywoodSpeaks: Length	DMDb: Language	SoS: Languages	DMDb: Country	SoS: Countries	DMDb: Sign Language %	SoS: Director/Creator	DMDb: Company	DMDb: Free To Watch	DMDb: URL	SoS: Platforms	HollywoodSpeaks: Studio/Producer	HollywoodSpeaks: Page	IMDb ID (manual)	Wikidata ID (manual)
America’s Founders Friends of the Deaf	America’s Founders Friends of the Deaf								2016	August 12, 2016																				DMDb									A visual narrative of how Thomas Hopkins Gallaudet, with the help of Laurent Clerc and Dr. Mason Cogswell, established schools in America to provide an education for deaf children.			Savannah Dahan	Gary Brooks				Shorts; Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts by Deaf Writers			History	45 minutes		American Sign Language		USA		50-100% Sign Language Usage			Free Short	https://deafmovie.org/title/americas-founders-friends-of-the-deaf/				tt10573488	–
Amy	Amy	Amy			Amy	Amy	Amy	Amy	1981	March 20, 1981	1981		1981	1981	1981	1981	tt0082017			tt0082017	https://www.imdb.com/title/tt0082017/?ref_=ls_t_140	tt0082017	https://www.imdb.com/title/tt0082017/?ref_=ls_t_51	tt0082017	https://www.imdb.com/title/tt0082017/?ref_=ls_t_13					DMDb; Sign on Screen; IMDb HoH; IMDb Deaf Movies; IMDb Deaf Characters; Hollywood Speaks					A woman leaves her husband after the death of her child to teach deaf children how to speak. Her own child was deaf and although she has no formal training she successfully teaches one boy.		A woman leaves her husband after the death of her child to teach deaf children how to speak. Her own child was deaf and although she has no formal training she successfully teaches one boy.	A woman leaves her husband after the death of her child to teach deaf children how to speak. Her own child was deaf and although she has no formal training she successfully teaches one boy.	A woman leaves her husband after the death of her child to teach deaf children how to speak. Her own child was deaf and although she has no formal training she successfully teaches one boy.	Grieving mother of a deaf son leaves her uncaring husband and teaches deaf children to lipread and speak	*The setting for this film is a residential school for deaf and blind children at the turn of the century... A young teacher, Amy (Jenny Agutter)... establishes an 'articulation' program (speech and lip-reading)... With the presence of Fant... Fabray... and real deaf children... the signs and finger spelling are clear and correct.					Otto Rechenberg and other unidentified deaf students	Movies with No Deaf Actors | Leading Roles; Movies	deaf child; 'hearing saviour'; hearing teacher; grief; learning speech; lipreading, inc. magical; oralism (repression of sign); school/university setting	Feature	Drama; Family		6 reels		American Sign Language (ASL); English		US		Vincent McEveety			https://deafmovie.org/title/amy/	Disney+	Walt Disney	128-129	tt0082017	Q4749055
Amy						Amy	Amy		1997					1997	1997		tt0118614					tt0118614	https://www.imdb.com/title/tt0118614/?ref_=ls_t_52	tt0118614	https://www.imdb.com/title/tt0118614/?ref_=ls_t_14					IMDb Deaf Movies; IMDb Deaf Characters							The story of a young girl who witnesses her dad's death on stage at a rock concert and becomes mentally mute/deaf; four years later, she discovers that she can only communicate by singing.	The story of a young girl who witnesses her dad's death on stage at a rock concert and becomes mentally mute/deaf; four years later, she discovers that she can only communicate by singing.																												
Ana Lucía		Ana Lucía							2008		2008																			Sign on Screen										Drama about a deaf Andalucian girl who loves flamenco								deaf musician/dancer; music	Short					Spanish		US		Harry Mavromichalis								
And Now Tomorrow		And Now Tomorrow						And Now Tomorrow	1944		1944					1944														Sign on Screen; Hollywood Speaks										Doctor trying to cure deafness treats a woman deafened by meningitis	Young stars as a beautiful, rich, deaf woman... Alan Ladd plays a young man... who becomes a doctor... experimental drugs... eventually cure her deafness.					Loretta Young		deafened by illness; deafness 'cured'; medical drama	Feature			Not specified in Filmography		English		US		Irving Pichel					Paramount	115	tt0036599	Q1056820
And Soon the Darkness		And Soon the Darkness							1970		1970																			Sign on Screen										Girl searching for her friend who goes missing during their cycling trip encounters deaf relative								drama; family drama; friendship	Feature					English; French		France; UK		Robert Fuest							tt0065398	Q2846033
…And Your Name Is Jonah	…And Your Name Is Jonah	…and Your Name Is Jonah			And Your Name Is Jonah	And Your Name Is Jonah	And Your Name Is Jonah (TV Movie)		1979	January 28, 1979	1979		1979	1979	1979		tt0078776	tt0078776		tt0078776	https://www.imdb.com/title/tt0078776/?ref_=ls_t_138	tt0078776	https://www.imdb.com/title/tt0078776/?ref_=ls_t_31	tt0078776	https://www.imdb.com/title/tt0078776/?ref_=ls_t_16					DMDb; Sign on Screen; IMDb HoH; IMDb Deaf Movies; IMDb Deaf Characters					A couple whose son had been institutionalized after being diagnosed as intellectually disabled are shocked to discover that the diagnosis was wrong: their son is deaf.		A couple whose son had been institutionalized after being diagnosed as intellectually disabled are shocked to discover that the diagnosis was wrong: their son is deaf.	A couple whose son had been institutionalized after being diagnosed as intellectually disabled are shocked to discover that the diagnosis was wrong: their son is deaf.	A couple whose son had been diagnosed as intellectually disabled, and was institutionalized, are shocked to discover that the diagnosis was wrong, and that their son is deaf, not intellectually disabled.	Couple are shocked to find out that their young son's diagnosis of intellectual disability is inaccurate and he is in fact deaf		Bernard Bragg; Jeffrey Bravin					Movies with Deaf Actors | Leading Roles; Movies	deaf child; deaf child hearing parent; Deaf Culture; disability; family drama; isolation; learning sign	Feature	Drama	01 hours 40 minutes		American Sign Language; English	American Sign Language (ASL); Brazilian Sign Language (LSB); English	USA	US	50-100% Sign Language Usage	Richard Michaels			https://deafmovie.org/title/and-your-name-is-jonah/				tt0078776	Q18636868
Angel		Angel	aka Danny Boy						1982		1982																			Sign on Screen										Revenge thriller in which hearing musician falls for deaf girl dancing to his music, who is then killed by terrorists when she doesn't hear him call her into hiding								crime/mystery; deaf musician/dancer; deaf victim/witness; deaf-hearing relationship; hearing killer/stalker; revenge/vigilante; thriller	Feature					English		Ireland; UK		Neil Jordan							tt0083560	Q2605765
Animal Behavior		Animal Behavior							1989		1989																			Sign on Screen										Sign language researcher signs with chimp								signing animal	Feature					American Sign Language (ASL); English		US		Jenny Bowen and Kjehl Rasmussen								
Ankur	Ankur								1974	June 1, 1974																				DMDb									Laxmi lives a poor lifestyle in a small village in India along with her husband, Kishtaya, who is a deaf-mute. Both husband and wife work for the wealthy landlord. The landlord’s son, Surya, has to cancel his studies and return home to look after the estate, as well as formalize his marriage to Saroj, the girl he was compelled to get married to when he was very young. Shortly thereafter Kishtaya is apprehended stealing toddy from the fields, is severely beaten, left senseless, and when he recovers he absconds, leaving Laxmi alone to fend for herself. Surya finds her attractive and starts an intimate relationship with her, much to the chagrin of the rest of the family. Things only get worse when Saroj moves in to live with Surya – compelling him to make a final decision about a visibly pregnant Laxmi.								Movies with No Deaf Actors | Leading Roles; Movies			Drama			Hindi		India		x Misuse Sign Language				https://deafmovie.org/title/ankur/					
Ankur: The Seedling		Ankur: The Seedling							1974		1974																			Sign on Screen										Indian drama about lower-caste woman and her deaf husband								deaf-hearing relationship; drama	Feature					Hindi		India		Shyam Benegal							tt0071145	Q1546398
Anna		Anna	Per amor vostro						2015		2015						tt4898888		tt4898888											Sign on Screen										Drama about a hearing mother of four, one of whose children is deaf								born deaf; deaf child; deaf child hearing parent; drama	Feature					Italian		France; Italy		Guiseppe M. Gaudino							tt4898888	Q20751337
Anne's Silent Struggle		Anne's Silent Struggle							2008		2008																			Sign on Screen										Documentary about Dutch deaf Jewish woman Anne, who survived the WWII concentration camps								deaf victim/witness; disability	Documentary					Dutch Sign Language (NGT); English; German		Netherlands		Willy Lindwer; Tom Linszen							–	–
Annie Dearest		Annie Dearest							2002		2002																			Sign on Screen										Parody of The Miracle Worker and the relationship between Helen Keller and her teacher Annie Sullivan								comedy; deafblind character; hearing teacher; 'hearing saviour'; Helen Keller; learning sign	Short					American Sign Language (ASL); English		US		Terry Galloway; Donna Marie Nudd							–	–
Antonella: Mis manos, mi voz					Antonella: Mis manos, mi voz				2023				2023				tt30175633			tt30175633	https://www.imdb.com/title/tt30175633/?ref_=ls_t_79									IMDb HoH					Antonella is the only deaf trans woman in Chile. After the confinement due to Covid 19 in 2021, she traveled to Santiago to perform her first solo show.																														tt30175633	–
Apagagada	Apagagada								2026	June 4, 2026																				DMDb									Sonia turns 53. To celebrate, she sets out to bake a cake while imagining what her day with her family will be like. But the reality is that her life is an unbearable nightmare that keeps her trapped in a cage she doesn’t know how to escape.				Guillermo Rojo				Shorts with Deaf Actors | Leading Roles				5 minutes		Spanish Sign Language		Spain; EUR						https://deafmovie.org/title/apagagada/					
Aquarium		Aquarium	Akvarium						2011		2011						tt1625028		tt1625028											Sign on Screen										Short about a deaf artist who lives reclusively								deaf artist; isolation	Short					Norwegian		Norway		Bard Rossevold							tt1625028	–
Arabian Nights: Volume 2 - The Desolate One		Arabian Nights: Volume 2 - The Desolate One							2015		2015						tt4692234		tt4692234											Sign on Screen										Second film in transnational adaptation of the Arabian Nights legend, includes passages in sign language								drama	Feature					English; Brazilian Sign Language (LSB); French; German; Italian; Mandarin; Portuguese		France; Germany; Portugal; Switzerland		Miguel Gomes							tt4692234	Q26269987
Ashik Kerib		Ashik Kerib	Ashug-Karibi						1988		1988																			Sign on Screen										A poor minstrel in love with a rich merchant's daughter is devastated when his father won't let them marry; he travels the world and finds himself in several Deaf and Blind communities								Deaf Culture	Feature					Azerbaijani; Georgian; Russian		USSR		Sergei Parajanov; Dodo Abashidze							tt0094681	Q2018550
Askari	Askari								2001	December 2, 2001							tt0284769	tt0284769												DMDb									A girl is living with her aunt and uncle who run a game reservation in Africa. When their shady boss decides it’s time to cull certain species to prevent overpopulation, poachers appear.			Marlee Matlin					Movies with Deaf Actors | Leading Roles; Movies			Drama; Family			American Sign Language; English		USA					Free Movie; Kids Free	https://deafmovie.org/title/askari/				tt0284769	Q16825649
A.S.L.	A.S.L.								2015	January 1, 2015							tt3494068	tt3494068												DMDb									A young boy, Wyatt, is afraid of his first day at a new school. He fears that he may not make any friends due to being different. However, a young girl, Kylie, sees a new friend.								Shorts			Family; Short											https://deafmovie.org/title/asl/				tt3494068	–
Assassin 33 A.D.		Assassin 33 A.D.							2020		2020						tt8064418		tt8064418											Sign on Screen										Scientists uncover a terrorist plot to use a time machine to change history, includes passages in sign language								crime/mystery; thriller	Feature					American Sign Language (ASL); English		US		Jim Carroll							tt8064418	Q115122715
The Association		The Association							2007		2007																			Sign on Screen										Short about a man's first day at work at a mysterious Deaf charity, 'The Association'								deaf actor; deaf director; deaf villain/suspect; deaf writer/producer	Short					British Sign Language (BSL); English		UK		Jonathan Reid							tt1531064	–
Atomic Rulers		Atomic Rulers							1965		1965																			Sign on Screen										Sci-fi action film about evil aliens planning a nuclear attack on Earth, includes passages in sign language								action; apocalypse; sci-fi/fantasy; survival narrative	Feature					English; invented sign language		Japan; United States		Koreyoshi Akasaka; Teruo Ishii; Akira Mitsuwa							tt0057860	Q4817307
Audible	Audible	Audible		Audible	Audible				2021	June 1, 2021	2021	2021	2021				tt12771540			tt12771540	https://www.imdb.com/title/tt12771540/?ref_=ls_t_31					Q110313324	Q110313324	Audible (film)	https://en.wikipedia.org/wiki/Audible_(film)	DMDb; Sign on Screen; Wikipedia; IMDb HoH				Football player Amaree McKenstry-Hall and his Maryland School for the Deaf teammates attempt to defend their winning streak while coming to terms with the tragic loss of a close friend.	Football player Amaree McKenstry-Hall and his Maryland School for the Deaf teammates attempt to defend their winning streak while coming to terms with the tragic loss of a close friend.				Football player Amaree McKenstry-Hall and his Maryland School for the Deaf teammates attempt to defend their winning streak while coming to terms with the tragic loss of a close friend.	Short, coming-of-age film about a deaf footballer at the Maryland School for the Deaf who usually only uses his hearing aids to listen to music, rather than for speech		Amaree McKenstry-Hall					x Documentaries; x Documentaries by Non-Deaf Directors	deaf actor; deaf sporting excellence; hearing aid; music; School for the Deaf; school/university setting; sports	Short	Documentary; Short			American Sign Language	English	USA	US	50-100% Sign Language Usage	Matthew Ogens	Netflix		https://deafmovie.org/title/audible/	Netflix			tt12771540	Q110313324
Audism	Audism								2007	June 11, 2007																				DMDb									Black Summer								x Documentaries by Deaf Directors; x Documentaries			Documentary	4 minutes		American Sign Language		USA		50-100% Sign Language Usage			Free Documentary; Free Documentary DMDb's Pick	https://deafmovie.org/title/audism/				–	–
Audism Unveiled	Audism Unveiled								2008	September 1, 2008																				DMDb									Black Summer								x Documentaries by Deaf Directors; x Documentaries			Documentary			American Sign Language		USA		50-100% Sign Language Usage				https://deafmovie.org/title/audism-unveiled/				–	–
Austin Unbound		Austin Unbound							2010		2010																			Sign on Screen										Documentary entirely in American Sign Language (ASL) about a deaf transgender man's experience of transition								all/most dialogue in sign language; queer	Documentary					American Sign Language (ASL)		US		Eliza Greenwood; Sel Staley								
Australian Story		Australian Story							2021		2021																			Sign on Screen										Sophie's Choice: Li Family episode of this Australian Broadcasting Corporation documentary profile of young deaf woman Sophie Li's decision to stop wearing the cochlear implants her parents had installed when she was a child, embracing Auslan and the Deaf community								deaf child; deaf child hearing parent; Deaf Culture; cochlear implant	Documentary					Australian Sign Language (Auslan); English		Australia		Mayeta Clark				ABC iView				
The Auteur Theory		The Auteur Theory							1999		1999																			Sign on Screen										Slasher satire set at a pretentious student film festival includes deaf actors Shoshannah Stern and Louise Stern								crime/mystery; deaf actor; deaf victim/witness	Feature					American Sign Language (ASL); English		US		Evan Oppenheimer							tt0159259	Q89669416
Ava	Ava								2019	June 13, 2019																				DMDb									A babysitter takes over for the night and what happens has unexpected consequences…Director: , UK, 2019, 3.21 min								Shorts				3 minutes									Free Short	https://deafmovie.org/title/ava/				–	–
Avant, pendant, apres 'La Chambre sourde'		Avant, pendant, apres 'La Chambre sourde'	Avant, pendant, apres 'La Chambre sourde'						1986		1986																			Sign on Screen										Video art piece about deafness								Deaf Culture	Short					French		France		Robert Kramer								
Avatar: The Way of Water		Avatar: The Way of Water			Avatar: The Way of Water				2022		2022		2022				tt1630029			tt1630029	https://www.imdb.com/title/tt1630029/?ref_=ls_t_30									Sign on Screen; IMDb HoH					Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.	Has a signed conlang developed by deaf actor CJ Jones who also plays a minor role in the movie. Language is used to communicate underwater.				Fantasy colonial sequel includes Na'vi sign language invented by Deaf actor CJ Jones, used underwater and with animals. Those who can't sign are referred to as 'unuseful'								action; Deaf Gain; sci-fi/fantasy; signing animal	Feature					English; invented sign language		US		James Cameron							tt1630029	Q3604746
Avec nos yeux		Avec nos yeux	Avec nos yeux						2013		2013						tt2956892		tt2956892											Sign on Screen										Documentary about French Deaf people and the International Visual Theatre, including theatre director and actor, Emmanuelle Laborit								accessibility; born deaf; deaf actor	Documentary					French; French Sign Language (LSF)		France		Marion Aldighieri							tt2956892	Q18633927
Avenged	Avenged	Avenged	Savaged				Avenged		2013	August 11, 2013	2013				2013		tt2378453							tt2378453	https://www.imdb.com/title/tt2378453/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_savaged					DMDb; Sign on Screen; IMDb Deaf Characters								A deaf girl is brutalized by a murderous gang who are then hunted by her when the bloodthirsty spirit of an Apache warrior inhabits her lifeless body.	A deaf girl is brutalized by a murderous gang who are then hunted by her when the bloodthirsty spirit of an Apache warrior inhabits her lifeless body.	Horror action movie in which a deaf girl is murdered by a gang, then is reanimated by the spirit of an Apache warrior who hunts them down							Movies with No Deaf Actors | Leading Roles; Movies	action; deaf mystic; deaf victim/witness; hearing stalker/killer; horror; Indigenous character/themes; revenge/vigilante	Feature	Thriller; Action; Horror; Fantasy			English	English	USA	US	x Misuse Sign Language	Michael S. Ojeda			https://deafmovie.org/title/avenged/				tt2378453	Q16928330
