Title (auto)	DMDb: Title	SoS: Title	SoS: Original Title	Wikipedia: Title	IMDb HoH: Title	IMDb Deaf Movies: Title	IMDb Deaf Characters: Title	HollywoodSpeaks: Title	Year (auto)	DMDb: Release Date	SoS: Year	Wikipedia: Year	IMDb HoH: Year	IMDb Deaf Movies: Year	IMDb Deaf Characters: Year	HollywoodSpeaks: Year	IMDb ID (auto)	DMDb: IMDb ID	SoS: IMDb ID	IMDb HoH: IMDb ID	IMDb HoH: IMDb URL	IMDb Deaf Movies: IMDb ID	IMDb Deaf Movies: IMDb URL	IMDb Deaf Characters: IMDb ID	IMDb Deaf Characters: IMDb URL	Wikidata ID (auto)	Wikipedia: Wikidata ID	Wikipedia: Article	Wikipedia: URL	Sources	IMDb URL (auto)	Wikipedia URL (auto)	Lookup Notes (auto)	Wikipedia: Description	IMDb HoH: Description	IMDb HoH: Notes	IMDb Deaf Movies: Description	IMDb Deaf Characters: Description	DMDb: Synopsis	SoS: Summary	HollywoodSpeaks: Synopsis	DMDb: Deaf Actor	DMDb: Deaf Director	DMDb: Deaf Writer	DMDb: Deaf Editor	HollywoodSpeaks: Deaf Characters	DMDb: Category	SoS: Tags	SoS: Format	DMDb: Genre	DMDb: Duration	HollywoodSpeaks: Length	DMDb: Language	SoS: Languages	DMDb: Country	SoS: Countries	DMDb: Sign Language %	SoS: Director/Creator	DMDb: Company	DMDb: Free To Watch	DMDb: URL	SoS: Platforms	HollywoodSpeaks: Studio/Producer	HollywoodSpeaks: Page	IMDb ID (manual)	Wikidata ID (manual)
Ägypten	Ägypten								1997	May 5, 1997																				DMDb									Egypt is a film which is almost silent. A film about deaf mutes, or rather about their sign language, a language which, like the ancient Egyptian hieroglyphs, links the symbolic terminology of words with the mimetic and analogous representations of graphic gestures. Sober black and white scenes show how “shark”, “widow”, “Marilyn Monroe”, a James bond sequence, a Viennese song or the account of a treasure hunt undertaken by two holiday makers in Egypt look in the sign language. It is a very modest indication, an introduction to an unfamiliar way of experiencing the world, where one sees the sounds without hearing them. (Drehli Robnik)								x Documentaries; x Documentaries by Non-Deaf Directors			Documentary; Short					Germany; Austria; EUR						https://deafmovie.org/title/agypten/				tt0115072	–
An Air So Pure	An Air So Pure	An Air So Pure	Un air si pur						1997	September 3, 1997	1997																			DMDb; Sign on Screen									Set in Europe during WWI, a doctor and lawyer have converted a musty old mansion into a ritzy hotel and health spa. The chateau is inhabited by an eccentric collection of characters from	Crime drama set in post-war era includes Emmanuelle Laborit in speaking deaf role as a nurse in a sanatorium								crime/mystery; deaf actor; drama; learning speech	Feature	Comedy; Drama				French		France		Yves Angelo			https://deafmovie.org/title/an-air-so-pure/				tt0119853	Q3548296
Airplane II: The Sequel		Airplane II: The Sequel							1982		1982																			Sign on Screen										Screwball airplane comedy includes passages in sign language								comedy	Feature					American Sign Language (ASL); English		US		Ken Finkleman							tt0083530	Q502303
Airspace	Airspace								2020	August 17, 2020																				DMDb									A young woman whose attempt at ending her life in the solitude of an isolated forest is interrupted by a drone that, against her wishes, refuses to abandon her.			Jared DeBusk					Shorts with Deaf Actors | Leading Roles; Shorts			Drama; Short	18 minutes		American Sign Language		USA		50-100% Sign Language Usage				https://deafmovie.org/title/airspace/				tt11017748	–
Akouse Me		Akouse Me							2022		2022						tt16089466		tt16089466											Sign on Screen										A young girl in financial distress has to leave her progressive Athens School for the Deaf and move home to her father's island								deaf child; deaf child hearing parent; hearing actor in deaf role; isolation; School for the Deaf; school/university setting	Feature					Bulgarian; Greek; Greek Sign Language (ENG)		Greece		Maria Douza							tt16089466	–
Alexandria…Why?		Alexandria…Why?	Iskanderija... lih?						1979		1979																			Sign on Screen										Drama about an aspiring actor living in Alexandria during World War II, includes passages in sign language								drama	Feature					Arabic; Egyptian Sign Language (ESL); English		Algeria; Egypt		Youssef Chahine							tt0077751	Q2060541
Alfredo Corrado	Alfredo Corrado				Alfredo Corrado				2023	February 19, 2023			2023				tt29332083			tt29332083	https://www.imdb.com/title/tt29332083/?ref_=ls_t_65									DMDb; IMDb HoH					Julien Bourges partly retraces the life of Alfredo Corrado, an American deaf artist. Today, considered an important figure in the French deaf community, Alfredo Corrrado came to Paris in the late 1970s, at a time when sign language was forbidden and scorned. This unique documentary on Alfredo Corrado recounts the creation of International Visual Theater (IVT) and the adventures of the first deaf theater in France at the Château de Vincennes, which changed the history of deaf people in France.				In this documentary, Julien Bourges traces part of the life of Alfredo Corrado, an American deaf artist. Today recognized by the French Deaf community as an important figure, he arrived in Paris in the late 1970s, at a time when French Sign Language was banned and despised.				Julien Bourge				x Documentaries by Deaf Directors				01 hours 36 minutes		French Sign Language		France						https://deafmovie.org/title/alfredo-corrado/				tt29332083	–
Alias the Deacon		Alias the Deacon							1940		1940																			Sign on Screen										Gambling criminal disguised as small-town deacon gets caught up in a fight, includes deaf woman side character								crime/mystery; religion	Feature					English		US		Christy Cabanne							tt0032191	Q65061113
Alien Nation: Millennium		Alien Nation: Millennium							1996		1996																			Sign on Screen										Aliens and spiritualists combine in the lead-up to the new millennium in 1999, includes passages in sign language								sci-fi/fantasy	Feature					American Sign Language (ASL); English		US		Kenneth Johnson							tt0115504	Q4726448
All About		All About							2022		2022						tt18351796		tt18351796											Sign on Screen										"Season 2 episode 10 (""Troy Kotsur"") episode of the IMDb Originals celebrity special series is about deaf actor, director and writer, Troy Kotsur (series duration 2021-)"								born deaf; deaf actor	Documentary					American Sign Language (ASL); English		US		Alex Logan							tt18351796	–
