English Title	Original Title	Director/Creator	Year	Format	Languages	Countries	Platforms	Summary	Tags	IMDb Tag Number
All About		Alex Logan	2022	Documentary	American Sign Language (ASL); English	US		Season 2 episode 10 ("Troy Kotsur") episode of the IMDb Originals celebrity special series is about deaf actor, director and writer, Troy Kotsur (series duration 2021-)	born deaf; deaf actor	tt18351796
All the Silence	Todo el silencio	Diego del Rio	2023	Feature	Mexican Sign Language; Spanish	Mexico		A hearing sign language teacher experiences a crisis as she starts to rapidly go deaf herself	deafened by illness; progressive hearing loss	tt29419593
Almost		Teresa Garratty	2020	Short	British Sign Language (BSL); English	UK		Drama short in British Sign Language (BSL) about an encounter between two young women. Includes deaf actors Nadeem Islam, Rose Ayling-Ellis and Vilma Jackson	deaf actor; deaf director; drama	tt11767360
Alone Yet Not Alone		Ray Bengston; George D. Escobar	2013	Feature	English; Plains Indian Sign Language (PISL or Hand Talk)	US		Two German sisters migrate to the colonial US and are abducted by Delaware warriors, includes passages in sign language	Indigenous character/themes; sibling relationship; religion; western	tt1986769
Always Chasing Love		Jadolphus Fraser	2016	Feature	American Sign Language (ASL); English; Italian	US		Drama featuring mostly deaf actors (Alexandria Wailes, Hillary Baack, Modela Kurzet) about the search for their birth parents after entering the foster care system	adoption/foster care; born deaf; deaf actor; deaf child; deaf child hearing parent; drama	tt6069310
American De’VIA Artist: Chuck Baird and his Journey		Tracey Salaway	2010	Documentary	American Sign Language (ASL); English	US		Documentary about founding De'VIA (Deaf View/Image Art) artist, Chuck Baird	deaf artist; Deaf Culture	n/a
American Diablo		Juan Carlos Castañeda	2021	Short	American Sign Language (ASL); English	US		Horror thriller with the tagline "A Deaf Superhero For The Voiceless", about a deaf undocumented Latina woman played by Stephanie Nogueras who must escape the Devil	deaf actor; deaf superhero; horror; religion; survival narrative	tt14810324
American Ninja Warrior		Patrick McManus	2017	Series	English	US		Season 9 episode 5 ("Kansas City Qualifiers") of the reality athletic obstacle course show includes self-named 'Deaf Ninja', Kyle Schulze (series duration 2009-)	deaf contestant; deaf sporting excellence; reality tv; sports	tt7104426
Angry Boys		Chris Lilly	2011	Series	English	Australia		Mockumentary comedy series in which all roles, including a deaf boy, are played by hearing Australian actor Chris Lilly	comedy; hearing actor in deaf role	tt1596589
Anna	Per amor vostro	Guiseppe M. Gaudino	2015	Feature	Italian	France; Italy		Drama about a hearing mother of four, one of whose children is deaf	born deaf; deaf child; deaf child hearing parent; drama	tt4898888
Anne With an E	 	Amanda Tapping	2020	Series	American Sign Language (ASL); English	US		Season 3 episode 10 ("The Better Feelings of My Heart") hearing teacher uses sign in the final episode of this school series (series duration 2017-19)	school/university setting	tt11194730
Aquarium	Akvarium	Bard Rossevold	2011	Short	Norwegian	Norway		Short about a deaf artist who lives reclusively	deaf artist; isolation	tt1625028
Arabian Nights: Volume 2 - The Desolate One		Miguel Gomes	2015	Feature	English; Brazilian Sign Language (LSB); French; German; Italian; Mandarin; Portuguese	France; Germany; Portugal; Switzerland		Second film in transnational adaptation of the Arabian Nights legend, includes passages in sign language	drama	tt4692234
Arcane		Christian Linke; Alex Yee	2021-2024	Series	American Sign Language (ASL); English	France; US		Season 2 (2024) of this animated series adapting the video game League of Legends includes a nonverbal hearing character who signs with their attendant	nonverbal; sci-fi/fantasy	tt11126994
ASL Nook			2013-	Children's series	American Sign Language (ASL)	US		Ongoing children's variety show entirely in American Sign Language (ASL)	deaf actor; deaf director; deaf writer/producer; all/most dialogue in sign language	tt10743086
Assassin 33 A.D.		Jim Carroll	2020	Feature	American Sign Language (ASL); English	US		Scientists uncover a terrorist plot to use a time machine to change history, includes passages in sign language	crime/mystery; thriller	tt8064418
Avec nos yeux	Avec nos yeux	Marion Aldighieri	2013	Documentary	French; French Sign Language (LSF)	France		Documentary about French Deaf people and the International Visual Theatre, including theatre director and actor, Emmanuelle Laborit	accessibility; born deaf; deaf actor	tt2956892
Audible		Matthew Ogens	2021	Short	English	US	Netflix	Short, coming-of-age film about a deaf footballer at the Maryland School for the Deaf who usually only uses his hearing aids to listen to music, rather than for speech	deaf actor; deaf sporting excellence; hearing aid; music; School for the Deaf; school/university setting; sports	
Austin Unbound		Eliza Greenwood; Sel Staley	2010	Documentary	American Sign Language (ASL)	US		Documentary entirely in American Sign Language (ASL) about a deaf transgender man's experience of transition	all/most dialogue in sign language; queer	
Australian Story		Mayeta Clark	2021	Documentary	Australian Sign Language (Auslan); English	Australia	ABC iView	"Sophie's Choice: Li Family" episode of this Australian Broadcasting Corporation documentary profile of young deaf woman Sophie Li's decision to stop wearing the cochlear implants her parents had installed when she was a child, embracing Auslan and the Deaf community	deaf child; deaf child hearing parent; Deaf Culture; cochlear implant	
Avatar: The Way of Water		James Cameron	2022	Feature	English; invented sign language	US		Fantasy colonial sequel includes Na'vi sign language invented by Deaf actor CJ Jones, used underwater and with animals. Those who can't sign are referred to as 'unuseful'	action; Deaf Gain; sci-fi/fantasy; signing animal	
Avenged	Savaged	Michael S. Ojeda	2013	Feature	English	US		Horror action movie in which a deaf girl is murdered by a gang, then is reanimated by the spirit of an Apache warrior who hunts them down	action; deaf mystic; deaf victim/witness; hearing stalker/killer; horror; Indigenous character/themes; revenge/vigilante	
The Avengers		Joss Whedon	2012	Feature	English; Russian	US		Marvel Avengers superhero blockbuster with Mark Ruffalo as Bruce Banner includes original Incredible Hulk actor Lou Ferrigno as Hulk	action; deaf actor; deaf superhero	
Avengers: Age of Ultron		Joss Whedon	2015	Feature	English; Korean	US		Marvel Avengers superhero sequel with Mark Ruffalo as Bruce Banner includes original Incredible Hulk actor Lou Ferrigno as Hulk	action; deaf actor; deaf superhero	
Awaaz		Shilajit Dey	2014	Short	Hindi	India		Deaf filmmaker defies his critics' expectations by making a film with almost no resources	accessibility; Deaf Gain	
Awkward Silence		Manuel Montanez	2018	Short	American Sign Language (ASL); English	US		Short film about communication problems between deaf and hearing partners, includes deaf actor Eddie Buck	deaf actor; deaf-hearing relationship; romance	
Baby Driver		Edgar Wright	2017	Feature	American Sign Language (ASL); English	UK; US	Binge	Getaway driver (Ansel Elgort) who was part-deafened in childhood crash constantly listens to music to mask his tinnitus; lives with a Deaf foster father (played by CJ Jones) and lipreads seamlessly	adoption/foster care; deaf actor; Deaf Gain; deafened by accident/violence; lipreading, inc. magical; music; tinnitus	
The Bachelor		Mike Fleiss	2021	Series	English	US		Season 25 of the dating reality show includes deaf contestant, Abigail Heringer	born deaf; deaf contestant; deaf-hearing relationship; reality tv	
Bachelor in Paradise		Michael Shea	2021	Series	English	US		Season 7 of the dating reality show spin-off featuring original Bachelor and Bachelorette contestants includes Abigail Heringer	born deaf; deaf contestant; deaf-hearing relationship; reality tv	
Bad Judge		Linda Mendoza	2014	Series	American Sign Language (ASL); Chinese Sign Language (CSL); English; Mandarin	US		Season 1 episode 7 ("Communication Breakdown") of this courtroom comedy drama includes a case of a deaf man who steals shoes, includes ASL and CSL interpreters. Includes deaf actor Amanda McDonough	crime/mystery; deaf actor; deaf villain/suspect; hearing actor in deaf role; hearing lawyer of deaf defendant	
	Bajrangi Bhaijaan	Kabir Khan	2015	Feature	Hindi; Indian Sign Language (ISL); Urdu	India		Bollywood action thriller about a man who brings a kidnapped Indian deaf girl back from Pakistan	action; adoption/foster care; Bollywood; deaf child; deaf child hearing parent	
Ballad of a White Cow	Ghasideyeh gave sefid	Maryam Moghadam and Behtash Sanaeeha	2020	Feature	Farsi	France; Iran		Woman with a deaf daughter discovers her husband was innocent of the crime he was executed for	crime/mystery; deaf child; deaf child hearing parent; deaf victim/witness; drama; grief	
Bandidos		Pablo Tébar	2024-	Series	Spanish; Mexican Sign Language (LSM)	Mexico; US		Season 2 of this Mexican heist thriller series includes the recurring deaf character Alex, son of one of the bandidos	action; crime/mystery; deaf child; deaf child hearing parent; revenge/vigilante	
	Barfi!	Anurag Basu	2012	Feature	Hindi	India		Bollywood romantic comedy with Nepalese deaf protagonist	Bollywood; deaf-hearing relationship; romance; romantic comedy	
Battle of Evil: Part II		Rydrea Walker	2014	Feature	American Sign Language (ASL)	US		American Sign Language (ASL)- only thriller in which siblings must fight evil to save their grandfather	all/most dialogue in sign language; horror; sibling relationship; thriller	
Battle Lines		Julian Peedle-Calloo	2014	Short	British Sign Language (BSL); English	UK	URL	A deaf man (Sean Noone) turns to community when he's refused entry into the army for WWI	deaf actor; Deaf Culture; deaf director	
The Bay		Daragh Carville; Richard Clark	2019-	Series	British Sign Language (BSL); English	UK	itv	Crime drama includes deaf actor Nadeem Islam in recurring season 3 role as Jamal	crime/mystery; deaf actor; drama; Nadeem Islam	
The Bear		Christopher Storer	2022-	Series	American Sign Language (ASL); English	US	Disney/FX	In season 2, Carmy and Sydney (two hearing chefs) use the ASL sign for sorry as a circuit breaker during arguments; the switch in modality allows them to defuse tension and apologise even while still feeling emotional	Deaf Gain; drama; learning sign	
Beat		Anastasia Szymanski	2017	Short	American Sign Language (ASL); English	Canada		Short film about a deaf dancer and his relationship with a hearing musician	deaf-hearing relationship; deaf musician/dancer; music; queer	
Beautiful Sounds of Love		Diante Jenkins	2013	Feature	American Sign Language (ASL); English	US		Romance between a hearing man and a deaf woman with trauma due to a history of abuse, as both their exes try to break them up	Amelia Hensley; deaf actor; deaf-hearing relationship; romance; Sandra Mae Frank	
Beauty Scar		Jules Dameron	2019	Short	American Sign Language (ASL)	US		Short romance between two young deaf people staying in a mental institution	Amelia Hensley; deaf actor; deaf director; deaf writer/producer; Miles Barbee; romance	
Becoming Helen Keller		Michael Pressman	2021	Documentary	English	US		Documentary episode of the 'American Masters' series (running since 1985) about Helen Keller's life and disability activism	accessibility; biopic; deafblind documentary; disability; Helen Keller	
Being Michelle		Atin Mehra	2022	Documentary	English	US		Documentary about a deaf woman with autism and her experience of incarceration	accessibility; deaf villain/suspect; disability	
The Bélier Family	La Famille Belier	Eric Lartigau	2014	Feature	French; French Sign Language (LSF); Spanish	Belgium; France		Coda daughter must choose between life on her deaf family's farm and her dreams of a singing career in Paris	Coda; deaf-hearing relationship; drama; family drama; hearing actor in deaf role; music	
Believer	Dokjeon	Hae-Young Lee	2018	Feature	Korean; Korean Sign Language (KSL)	South Korea		Drug cartel thriller includes two deaf drug cooks	crime/mystery; deaf villain/suspect; thriller	
Bent: His Vengeance		Martina Bell	2022	Short	American Sign Language (ASL)	US		American Sign Language (ASL)-only short about a college teacher's strange behaviour throughout a day, leading up to a mysterious "moral decision"	all/most dialogue in sign language; school/university setting	
The Best Day of My Life		Fernando González Molina	2018	Documentary	French Sign Language (LSF); Spanish	Spain		Pride documentary about six proud queer people, one of whom is a deaf man from France	queer	
Between Shadows and Whispers	Entre Sombras y Seruros	Samuel Henríquez	2012	Documentary	Spanish	Venezuela		Story of deafblind Venezuelan woman who learns to speak at the age of 55, then to teach others speech	deafblind documentary; learning speech	
Beware the Gorilla	Attenti al gorilla	Luca Miniero	2019	Feature	invented sign language; Italian	Italy		Recently-divorced lawyer commits himself to helping a captive gorilla, including some signing communication	signing animal	
Beyond Inclusion		Ryan Commerson	2016	Documentary	American Sign Language (ASL); English	US		Documentary short on the concepts of 'diversity' and 'disability' following the Americans with Disabilities Act of 1990, includes interview with Nyle DiMarco	accessibility; disability; Nyle DiMarco	
