English Title	Original Title	Director/Creator	Year	Format	Languages	Countries	Platforms	Summary	Tags	IMDb Tag Number
Children of Men		Alfonso Cuarón	2006	Feature	Arabic; English; Georgian; German; Italian; Romanian; Russian; Serbian; Spanish	Japan; UK; US		Clive Owens' character witnesses a bombing and develops tinnitus, which is referenced as a kind of metaphor for his trauma thoughout this dystopian drama	apocalypse; deafened by accident/violence; drama; tinnitus	
China, My Sorrow	Niu-Peng	Sijie Dai	1989	Feature	Cantonese; Mandarin; Shanghainese	China; France; West Germany		During the Cultural Revolution, a young boy is sent to a reeducation camp and befriends a deaf monk, who inspires him with his wisdom. A Chinese-directed film made in Chinese languages in France. 	adoption/foster care; deaf mystic; friendship	
Chinese Roulette	Chinesisches Roulette	Rainer Werner Fassbinder	1976	Feature	German; German Sign Language (DGS)	France; West Germany		Young disabled girl forces her parents to acknowledge their respective affairs, includes passages in sign language	disability; family drama	
Choices		Silvio Narizzano	1981	Feature	English	US		A deaf teen (Paul Carafotes) becomes isolated after he is blocked from playing on a football team due to his deafness	hearing actor in deaf role; isolation; school/university setting; sports	
The Chorus	Hamsarayan	Abbas Kiarostami	1982	Short	Farsi	Iran		A deaf man goes for walk and turns off his hearing aid to avoid noise, but when he returns home he can't hear his granddaughter ringing the doorbell	Coda; hearing aid	
	Choti Si Dunya	Mushtaq Gazdar	2000	Documentary	Pakistani Sign Language	Pakistan		Documentary about the Ida Rieu School for the Deaf and Blind	deaf child; Deaf Culture; deafblind documentary; School for the Deaf; school/university setting	
Christmas Eve on Sesame Street		Jon Stone	1978	Children's feature	American Sign Language (ASL); English	US		Sesame Street TV movie about Christmas Eve includes deaf actor Linda Bove in her recurring role	deaf actor	
Christmas Mission		Michael L. Schaertl	1999	Short	American Sign Language (ASL); English	Canada; US		Religious Christmas TV short includes missionary working with deaf children	deaf child; hearing teacher; religion	
Chronic Embarrassment		Samuel Dore	2001	Short	British Sign Language (BSL)	UK		British Sign Language (BSL) short in which friends at a party tell stories of embarrassing things that have happened to them	comedy; friendship	
	Chup Chup Ke	Priyadarshan; Kookie Gulati	2006	Feature	Hindi	India		Comedy includes hearing man pretending to be deaf to avoid debts	comedy; hearing character pretending to be deaf	
Cleopatra		Joseph L Mankiewicz	1963	Feature	English	US; Switzerland; UK		Hearing actor George Cole plays nonverbal (possibly deaf?) character who signs with Caesar	nonverbal	
Close Encounters of the Third Kind		Steven Spielberg	1977	Feature	Curwen Hand Signs; English	UK; US		The scientists (one of them played by deaf actor/director François Truffaut) use Curwen hand signs (used with musical scales to refer to notes) to communicate with aliens	deaf actor; deaf scientist/medical professional; sci-fi/fantasy	
Clown White		Paul Shapiro	1981	Feature	American Sign Language (ASL); English	Canada		A deaf child goes on a city field trip, runs away	deaf child; school/university setting	
Code Unknown	Code inconnu	Michael Haneke	2001	Feature	English; French; French Sign Language (LSF); Malinka; Romanian	Austria; France; Germany; Romania		A series of interconnected, tragic stories of migrants and other isolated people in Paris, inc. deaf children participating in charades in the opening and closing scenes	deaf child; isolation; school/university setting	
Cold Blood	Sang froid	Pierre-Louis Levacher	2003	Short	French; French Sign Language (LSF)	France		Deaf vampire comedy short	comedy; sci-fi/fantasy	
Cold Case		Jeannot Szwarc	2008	Series	American Sign Language (ASL); English	US		Season 5 episode 14 ("Andy in C Minor") of this Philadelphia crime drama is about the murder of a deaf teen at a School for the Deaf (series duration 2003-10), includes deaf actor Ryan Lane	crime/mystery; deaf child; deaf victim/witness; deaf villain/suspect; School for the Deaf; school/university setting	
Comanche Station 		Budd Boetticher	1960	Feature	Comanche; English; Indian Sign Language (ISL); Turkish	US		Western includes dialogue in Indigenous languages, including Turtle Island sign languages	Indigenous character/themes; western	
Coming Home		Louis Neethling	2009	Short	British Sign Language (BSL); English	UK		Short about an adopted deaf man who inherits his late biological mother's house	deaf child hearing parent; family drama; foster care/adoption	
Coming Out		Louis Neethling	2006	Short	British Sign Language (BSL); English	UK		Short about a young deaf man coming out to his hearing mother	deaf child hearing parent; family drama; queer	
Compensation		Zenaibou Irene Davis	1999	Feature	American Sign Language (ASL); English	US		Drama about a young black deaf woman in early 1900s US	 drama	
The Concorde… Airport '79		David Lowell Rich	1979	Feature	English; French; German; Italian; Spanish	US		Air disaster action drama includes deaf little girl passenger	action; drama	
Confessions of a Cheat	Le roman d'un tricheur	Sacha Guitry	1936	Feature	French	France		Dark drama in which a deaf uncle character accidentally gathers poisonous mushrooms which kill the whole family, except the protagonist who has been denied dinner for stealing. The uncle is the last to die, and as he cries out, the remaining characters are shocked that the 'mute' has a voice	drama; horror	
Congo		Frank Marshall	1995	Feature	American Sign Language (ASL); English; Swahili	US		Michael Crichton sci-fi adaptation includes gorilla who's been taught to sign	sci-fi/fantasy; signing animal	
Control	Kontroll	Nimród Antal	2003	Feature	Hungarian; Hungarian Sign Language (HSL)	Hungary		Mystery comedy about rival train ticket inspectors, includes passages in sign language	comedy; crime/mystery	
Conventioneers		Mora Stephens	2005	Feature	American Sign Language (ASL); English	US		Romantic comedy between a Republic and a Democrat at the Republican National Convention, includes passages in sign language	comedy; romance; romantic comedy	
Cop Land		James Mangold	1997	Feature	English; Spanish	US		Action thriller about police-heavy New Jersey neighbourhood ruled by Sylvester Stallone character, who is deaf in one ear from saving a woman from drowning	action; deafened by accident/violence; deafened soldier; thriller	
Copying Beethoven		Agnieszka Holland	2006	Feature	English	Germany; Hungary; UK		Fictionalised Beethoven biopic about the final years of his life	Beethoven; biopic; deaf musician/dancer; drama; hearing actor in deaf role; music	
The Corpse Grinders		Ted V. Mikels	1971	Feature	English	US		Black horror about human flesh cat food includes deaf nurse side character	deaf scientist/medical professional; horror	
Country of the Deaf	Strana glukhikh	Valery Todorovsky	1998	Feature	Russian; Russian Sign Language (RSL)	France; Russia		Russian woman turns to stripping to pay off partner's gambling debt in Moscow Deaf community, develops a friendship with a deaf dancer	Deaf Culture; deaf musician/dancer; friendship; learning sign; sex work	
Crazy Boys	Eine Handvoll Vergnügen	Peter Kern	1987	Feature	German	West Germany		In a last-ditch attempt to save their failing business, a cabaret's owners recruit dancers for a male striptease, including a deaf dancer	comedy; deaf musician/dancer	
Crazy Moon		Allan Eastman	1987	Feature	English	Canada; US		Hearing teenage boy meets deaf girl	deaf-hearing relationship; romance	
The Creatures	Les créatures	Agnès Varda	1966	Feature	French	France; Sweden		Pseudo sci-fi drama in which Catherine Deneuve plays a nonverbal housewife character	drama; nonverbal; sci-fi/fantasy	
Criminal Investigator		Jean Yarbrough	1942	Feature	American Sign Language (ASL); English	US		Film noir in which a detective questions one character in American Sign Language (ASL)	crime/mystery; deaf villain/suspect; deaf victim/witness; thriller	
The Crimson Pirate		Robert Siodmak	1952	Feature	British Sign Language (BSL); English	UK		Swashbuckling pirate comedy includes frequent duo Burt Lancaster (speaking) and Nick Cravat (nonverbal actor always in nonverbal roles) who sign together	comedy; nonverbal	
Crying?	Klais?	Alexander Voulgaris	2003	Feature	English; French; Greek; Greek Sign Language (ENG)	Greece		Dark comedy romance includes passages in sign language	comedy; romance; romantic comedy	
Crystal Hearing		Samantha Manalang	2009	Short	English	US		Crystal, a young deaf woman, steps out of her comfort zone with new friend	deaf-hearing relationship; friendship	
CSI: Crime Scene Investigation		Peter Markle	2000-15	Series	American Sign Language (ASL); English	US		Season 1 Episode 20 ("Sounds of Silence", 2001) of this popular crime drama investigates the death of a hearing man, with one of the hearing investigators revealing his knowledge of ASL and understanding of the Deaf community	accessibility; crime/mystery; Deaf Culture; deaf victim/witness; hearing saviour; learning sign	
CSI: Miami		Gina Lamar	2002-12	Series	American Sign Language (ASL); English	US		Season 6 Episode 3 ("Inside Out", 2007) includes several intersecting deaf storylines; a deaf bystander is killed and a hard of hearing lab worker with the team is prompted to confront her hearing loss and learn more about the Deaf community	adapting to deafness; crime/mystery; hearing actor in deaf role; Deaf Culture; deaf victim/witness; deaf scientist/medical professional; hearing aid; learning sign	
CSI: NY		Rob Bailey	2004-13	Series	American Sign Language (ASL); English	US		Season 3 Episode 12 ("Silent Night", 2006) features a signing deaf mother (Marlee Matlin) who is the only witness to her hearing daughter's murder. The episodes features ASL interpreter and subtitles for Matlin's signing throughout	accessibility; Coda; crime/mystery; deaf actor; deaf victim/witness; grief	
	Cuatro y medya	J. Erastheo Navoa	1981	Feature	Filipino; Tagalog	Philippines		Action mystery comedy includes d/Deaf side character	action; comedy; crime/mystery	
Curse of the Swamp Creature		Larry Buchanan	1968	Feature	English	US		Mad scientist creature feature includes deaf girl side character	sci-fi/fantasy	
The Curse of the Werewolf		Terence Fisher	1960	Feature	English	UK		Horror about a werewolf who is conceived when a beggar rapes a deaf servant	horror; deaf servant; deaf victim/witness; hearing stalker/killer; sci-fi/fantasy	
Dallas		David Jacobs	1986	Series	English	US		This long-running family drama includes several secondary deaf characters, including a storyline in season 9 (episodes 213, "Overture" and 214, "Sitting Ducks") in which one of the characters considers adopting an orphaned deaf boy	adoption/foster care; deaf child; deaf child hearing parent; drama	
The Dancer		Frederc Garson	2000	Feature	English	France		Nonverbal (and possibly deaf; details needed) dancer teams up with musician to create music through dance moves	deaf musician/dancer; deaf-hearing relationship; music	
Dancing Lady		Robert Z. Leonard	1933	Feature	English	US		Clark Gable and Joan Crawford romance in which protagonist's grandmother is partially deaf	ageing deaf character as comic relief; romance	
Date Movie		Aaron Seltzer; Jason Friedberg	2006	Feature	American Sign Language (ASL); English	US		Spoof of rom com movies includes deaf character and sign language references	comedy	
Daughters of the Dust		Julie Dash	1991	Feature	American Sign Language (ASL); English	US		Drama about three generations of black women in South Carolina, includes passages in sign language	drama; family drama	
Day For Night	La nuit américaine	François Truffaut	1972	Feature	French	France		Self-referential romance comedy about a deaf director (Truffaut, who uses a hearing aid throughout the film) 	comedy; deaf director; deaf-hearing relationship; romance	
Day Night Day Night		Julia Loktev	2006	Feature	American Sign Language (ASL); English	France; Germany; US		Thriller about anonymous young woman suicide bomber, the bombmaker is deaf and they communicate in sign	deaf villain/suspect	
The Days Between	In den Tag hinein	Maria Speth	2001	Feature	English; German; German Sign Language (DGS); Japanese	Germany		Disillusioned young woman finds new path when meeting young Japanese man; includes some scenes in sign language	romance	
The Dead Mother	La madre muerta	Juanma Bajo Ulloa	1993	Feature	Spanish	Spain		Young woman deafened after childhood shooting that killed her mother	deaf child; deafened by accident/violence; grief	
Dead Silence		Daniel Petrie Jr	1997	Feature	American Sign Language (ASL); English	Canada; US		An FBI vet negotiates the release of a bus of deaf children taken hostage, includes deaf actor Marlee Matlin	deaf child; deaf victim/witness; school/university setting	
Deaf		Frederick Wiseman	1986	Documentary	American Sign Language (ASL); English	US		3-hour documentary about deafness	accessibility; Deaf Culture	
The Deaf Family		Chad W. Taylor	2008	Feature	American Sign Language (ASL)	US		Comedy about everyday challenges of a deaf family	comedy; Deaf Culture; family drama	
The Deaf Man		D.J. Kurs	2008	Short	American Sign Language (ASL)	US		Experimental American Sign Language (ASL) short about deafness	sign language poetry/song	
Deaf: Hear Me		Carol Duffy Clay	2007	Documentary	Hindi	India		Documentary about several deaf people living in Delhi	Deaf Culture	
Deaf-Mute Girl Reciting “Star Spangled Banner” 	Deaf-Mute Recitation	Arthur Marvin	1902	Short	American Sign Language (ASL)	US		Biograph short of an unidentified deaf woman signing the US national anthem against an American flag background	deaf actor; Deaf Culture	
The Deaf-Mutes Ball 	Deaf-Mutes's Masquerade		1907	Short	American Sign Language (ASL); English	US		Biograph comedy about two deaf men who attend a ball and create drunken hijinks. Part of the comedy comes from one man being unable to sign as he’s wearing a polar bear suit	comedy	
Deaf/Punk		Richard Gaikowski	1980	Short	English	US		Short about band The Offs performing at San Francisco's Deaf Club	Deaf Culture; music	
Deafplanet.com		Wayne Moss and Graeme Morphy	2003	Series	American Sign Language (ASL); English	US		Whacky series where character gets shot into space and lands in an American Sign Language (ASL) environment	Deaf Culture; learning sign; sci-fi/fantasy	
Deaf Perspectives			1994-8	Series	American Sign Language (ASL)	US		American Sign Language (ASL) talk show about a range of deaf social and cultural issues	Deaf Culture; all/most dialogue in sign language; news	
Deaf Smith and Johnny Ears	Los Amigos	Paolo Cavara	1973	Feature	Italian	Italy		Spaghetti western based on life of deaf cowboy Erastus 'Deaf' Smith	western	
Deaf to the Image	Sourd à l'image	Brigitte Lemaine	1998	Documentary	French; French Sign Language (LSF); German; German Sign Language (DGS)	France; Germany		Interviews with deaf creators including Emmanuelle Laborit and a range of French and German artists	deaf artist; Deaf Culture	
Deafula		Peter Wechsberg 	1975	Feature	American Sign Language (ASL)	US		Young deaf scientist turns himself into a vampire	deaf scientist/medical professional; sci-fi/fantasy	
Dear Frankie		Shona Auerbach	2004	Feature	British Sign Language (BSL)	UK		Pseudo fairytale of hearing mother and deaf son on the run	deaf child; deaf child hearing parent; family drama	
Dear Lemon Lima		Suzi Yoonessi	2009	Feature	American Sign Language (ASL); English	US		Girl enrols in her ex's private school after he dumps her, includes some scenes in American Sign Language (ASL)	school/university setting	
Death in the Garden	La mort en ce jardin	Luis Buñuel	1956	Feature	French	France; Mexico		A motley group of strangers, including a woman and her deaf daughter, are stranded in the Amazon rainforest	action; deaf child; deaf child hearing parent; deaf director; deaf victim/witness; drama	
The Death in Your Eyes	Der Tod in deinen Augen	Michael Rowitz	1999	Feature	German	Germany		A deaf artist lipreads as people negotiate a contract killing in a restaurant	crime/mystery; deaf artist; Deaf Gain; deaf victim/witness; lipreading, inc. magical	
The Death of the Incredible Hulk		Bill Bixby	1990	Feature	English	US		TV movie third sequel to The Incredible Hulk in which Lou Ferrigno reprises recurring role as the Hulk	deaf actor; deaf superhero	
The Decadent Influence	Une fille et des fusils	Claude Lelouch	1965	Feature	French; French Sign Language (LSF)	France		A group of disillusioned youths turn to a life of crime; includes a deaf girl character	crime/mystery; deaf-hearing relationship; friendship	
Deep in the Woods	Promenons-nous dans les bois	Lionel Delplanque	2000	Feature	French; French Sign Language (LSF)	France		Slasher horror about five actors (one a nonverbal hearing signing character) staying in a remote mansion	hearing stalker/killer; horror; nonverbal; survival narrative	
DEF		Ian Clark	2003	Short	British Sign Language (BSL); English	UK		Young deaf man living in housing estate dreams of rap career	deaf musician/dancer; music	
Def Dance Jam		Sy J. Abudu	2009	Short	American Sign Language (ASL); English	US		Short about hearing and deaf Harlem dancers working together	deaf musician/dancer; deaf-hearing relationship; music	
Departure Lounge		Louis Neethling	2009	Short	British Sign Language (BSL)	UK		Two deaf men, a patient and worker, meet and connect in hospital	all/most dialogue in sign language	
Deliverance		George Foster Platt	1919	Documentary	American Sign Language (ASL); English	US		Helen Keller biography endorsed by Keller herself	deafblind documentary; Helen Keller	
Delusions of Grandeur	La folie des grandeurs	Gérard Oury	1971	Feature	French	France		Slapstick comedy about court intrigue set in Spain includes deaf side character used for comic effect	ageing deaf character as comic relief; comedy; deaf servant	
	Dernier amour	Georges Folgoas	1963	Feature	French	France		Feature without synopsis lists side character as "le sourd" ("the deaf man", more details needed)		
Derrick		Théodor Gradler	1991	Series	German	West Germany		Season 6 episode 7 ("Lena") of this long-running German detective series is about the murder of a woman and the testimony of the only witness, her deaf sister Lena (includes misguided representations of lipreading, only one scene with an interpreter who uses Cued Speech rather than sign language, etc.)	crime/mystery; deaf victim/witness; hearing actor in deaf role; sibling relationship	
Desired	Désiré	Bernard Murat	1995	Feature	French	France		Hotel-set comedy of manners includes a snobby, late-deafened wealthy woman, Henriette, in a secondary role	comedy; romance	
Desperados on the Block		Tomasz Emil Rudzik	2009	Feature	German; German Sign Language (DGS)	Germany		Three strangers become friends in Munich, includes deaf woman side character	drama; friendship	
	Désolée	Pamela Witcher	2008	Short	American Sign Language (ASL); Quebecois Sign Language (LSQ)	Canada		Sign poem in two of the sign languages of Canada	sign language poetry/song	
Devil in the Flesh	Diavolo in corpo	Marco Bellocchio	1986	Feature	Italian; Italian Sign Language (LIS)	France; Italy		Italian thriller details affair between terrorist's wife and a teenage boy, includes passages in sign language	crime/mystery; romance; thriller	
Diane		David Miller	1956	Feature	English	US		Lana Turner and Roger Moore historical drama includes deaf blacksmith character who witnesses evidence but is assumed unintelligent because he can't speak	deaf servant; deaf victim/witness; drama	
	Die Serpentintänzerin	Helmut Herbst	1992	Feature	German	Germany; Hungary		Drama with very little information online, only tag is deafness (more details needed)	drama	
Don't Eat the Pictures: Sesame Street at the Metropolitan Museum of Art		Jon Stone	1983	Children's feature	American Sign Language (ASL); English	US		Sesame Street TV movie about Met art museum includes deaf actor Linda Bove in her recurring role	deaf actor	
Double Face		Serge Leroy	1986	Feature	French	France		Heist thriller TV movie in which one of the criminals is trying to get money for an operation to 'cure' his little sister's deafness	crime/mystery; deafness 'cured'; sibling relationship	
	Dove siete? Io sono qui	Liliana Cavani	1993	Feature	Italian	Italy		Drama in which a young boy's hearing mother cannot accept he is deaf, but his aunt secretly teaches him sign	deaf child; deaf child hearing parent; family drama; learning sign	
Dr Hand		Gary Brooks	2005	Feature	American Sign Language (ASL)	US		Children's fantasy about deaf child who cures his cancer	deaf child; all/most dialogue in sign language	
Dr. Kildare's Wedding Day		Harold S. Bucquet	1941	Feature	English	US		Hospital drama preceding wedding between young doctor and nurse; protagonist's mentor ignores his own cancer diagnosis to focus on a patient who fears he's going deaf	drama; medical drama; progressive hearing loss	
Dr Plonk		Rolf de Heer	2007	Feature	English	Australia		Chaplin/Keaton-style silent comedy includes hearing man with deaf wife	comedy; deaf-hearing relationship	
Dragon People		Rosa Rogers	2008	Documentary	Chinese Sign Language (CSL); Mandarin; English	US		Travelling documentary exploring Deaf Culture and diverse deaf people in China	Deaf Culture	
Dread		Anthony DiBlasi	2009	Feature	English	UK; US		Psychological horror in which three college students study what people most dread, one character most fears becoming deaf again after being temporarily deafened in childhood	deaf child; deafness 'cured'; horror; temporarily deafened	
Drop Dead Gorgeous		Michael Patrick Jann	1999	Feature	American Sign Language (ASL); English; French; Japanese; Spanish	Germany; US		Small-town beauty pageant comedy includes a deaf character	comedy	
Drop Me a Cat	Gei wo yi zhi mao	Mi-sen Wu	2003	Feature	Cantonese; Japanese; Mandarin; Taiwan Sign Language (TSL)	Taiwan		Man joins a local musical band and comes to suspect his cat is actually a human woman; includes passages in sign language with deaf side character	music	
The Dumb Samyong	Beongeoli Sam-ryong	Shin Sang-Ok	1964	Feature	Korean; Korean Sign Language (KSL)	South Korea		Romantic drama about a young deaf man who works as a servant in a village, where he is assumed unintelligent	deaf servant; deaf-hearing relationship; drama	
Dummy		Frank Perry	1979	Feature	English	US		A deaf man accused of murdering a sex worker is defended by a deaf lawyer	deaf lawyer; deaf villain/suspect; hearing actor in deaf role; sex work	
The Earth as Seen from the Moon	La Terra vista dalla luna	Pier Paolo Pasolini	1966	Feature	Italian	Italy		A widower who lives in a shanty town with his son finds a solitary deaf girl at a cemetery and brings her home	adoption/foster care; deaf child; deaf child hearing parent; family drama; sibling relationship	
Eban and Charley		James Bolton	2000	Feature	American Sign Language (ASL); English	US		Queer romance between teen boy whose mother has died and an older man, boy's best friend is deaf	friendship; queer; romance	
Edison, the Man		Clarence Brown	1940	Feature	English	US		Spencer Tracy in biopic of Thomas Edison, who was partially deafened by scarlet fever in childhood, released the same year as Young Thomas Edison	biopic; deafened by illness; Deaf Gain; drama	
Education of the Deaf	Triumph Over Deafness	Jack Ellit	1946	Documentary	English	UK		British Council documentary about educating deaf children in the UK	accessibility; deaf child; Deaf Culture; learning sign; school/university setting	
Effort	Koshish	Gulzar	1972	Feature	Hindi; Indian Sign Language (ISL)	India		Romantic drama about difficulties of a deaf couple in society	drama; family drama; romance	
	El ángel de la guarda	Santiago Matallana	1996	Feature	Spanish	Spain		Two young boys and their mother move into her parents' house after their father dies; grandmother is deaf and doesn't communicate with her husband	deaf-hearing relationship; drama; family drama	
	El filandón	José Maria Sarmiento	1983	Feature	Spanish	Spain		Anthology of Spanish fantasy stories includes story of a hearing pharmacist who saves a young deaf woman from murder in the forest; yet she proves morbid and evil with time	deaf villain/suspect; deaf-hearing relationship; drama; sci-fi/fantasy	
	El Sordo	René Cardona	1959	Feature	Spanish	Mexico		Sculptor who has taken in an orphaned child is beaten until he is deafened	adoption/foster care; deafened by accident/violence/violence	
The Elder One	Moothon	Geethu Mohandas	2019	Feature	Indian Sign Language (ISL); Malayalam	India		Drama about transgender boy and his gay brother, includes dialogue in Indian Sign Language (ISL)	family drama; queer; sibling relationship	
Electric Shadows	Meng ying tong nian	Jiang Xiao	2004	Feature	Mandarin	China		Deaf girl assaults a delivery boy and draws him into her life	deaf-hearing relationship	
Ellektra		Rudolf Mestdagh	2004	Feature	Dutch; English; Flemish; French	Belgium; France; Germany; Netherlands		Bittersweet SMS matchmaking drama includes Matthias Schoenaerts as deaf DJ	deaf musician/dancer; drama; hearing actor in deaf role; music; vibrations	
Emmerdale Farm		Tracey Rooney	2003	Series	English	UK		Episode 3,562 of this longstanding British rural drama includes couple who have deaf baby (series duration 1972-present)	born deaf; deaf child; deaf child hearing parent; drama; family drama	
Entrevista Com o Surdo Gay	Entrevista Com o Surdo Gay	Celso Badin	2004	Documentary	Brazilian Sign Language (LSB)	Brazil		Interview with a gay deaf Brazilian man	all/most dialogue in sign language; queer	
The Equalizer		Russ Mayberry	1989	Series	English	US		Season 4 episode 12 ("Silent Fury") of this detective series is about a hearing burglar targeting a series of deaf people's apartments in the one building; one of the tools the rogue vigilante 'The Equalizer' uses is a deadly sound	crime/mystery; character survives dangerous sound thanks to deafness; deaf victim/witness; Deaf Culture; hearing actor in deaf role; hearing stalker/killer	
Ernest Goes to Camp		John R. Cherry III	1987	Feature	English; invented sign language	US		Screwball comedy includes 'Old Indian Chief' played by Italian actor Iron Eyes Cody who uses a home sign language in one scene	comedy; deaf mystic; Indigenous character/themes	
Eroica		Walter Kolm-Veltée	1949	Feature	German	Austria		Biography of Beethoven set during the period of his composition of the Heroic Symphony, as his hearing loss progresses	adapting to deafness; Beethoven; biopic; deaf musician/dancer; drama; hearing actor in deaf role; music; progressive hearing loss	
Eroica		Simon Cellan Jones	2003	Feature	English	UK		TV movie about Beethoven's Heroic Symphony in which characters debate the reign of Napoleon; at the film's end, Beethoven confesses he is going deaf	adapting to deafness; Beethoven; biopic; deaf musician/dancer; drama; hearing actor in deaf role; music; progressive hearing loss	
	Erreur sur la personne	Gilles Noël	1996	Feature	French	France		A Montreal police officer has suffered two accidents; one which killed his wife, the other which deafened him. While learning to use a hearing aid and read lips, he becomes fascinated by a new woman	adapting to deafness; crime/mystery; deafened by accident/violence; deafened soldier; hearing aid; lipreading, inc. magical	
	Eszkimó asszony fázik	Janos Xantus	1983	Feature	English; Hungarian	Hungary		Love triangle thriller in which a woman's deaf husband kills her hearing lover; she abandons both	crime/mystery; deaf villain/suspect; deaf-hearing relationship; thriller	
	Etsuraku	Nagisa Ôshima	1965	Feature	Japanese	Japan		Crime thriller includes deaf girl character who chooses life on street rather than being with yakuza man	crime/mystery; sex work; thriller	
Etude		Oscar Moralde	2007	Short	American Sign Language (ASL); English	US		Nervous deaf concert cellist plays in public for the first time in years	deaf musician/dancer; music	
The Evening Bell	Manjong	Shin Sang-ok	1970	Feature	Korean; Korean Sign Language (KSL)	South Korea		Son of a nonverbal couple finds out he might have been hired for his job because he can sign and his boss wants to marry his deaf daughter off to him	Coda; deaf-hearing relationship; nonverbal	
Ex Drummer		Koen Mortier	2007	Feature	Dutch; Flemish	Belgium; France; Italy		Manipulative writer becomes drummer in a band of disabled musicians (one deaf, one hearing with speed impediment)	deaf musician/dancer; disability; music	
The Expert		Archie Mayo	1932	Feature	English	US		Old man comes to live with his daughter, son-in-law and grandson; the grandson and grandfather befriend a group of old men living nearby (including some deaf men)	friendship	
Explicit IIIs		Mark Webber	2008	Feature	American Sign Language (ASL); English	US		Series of interconnected romances set in working-class Philadelphia, includes passages of sign language	drama; romance	
Eyes of a Stranger		Ken Wiederhorn	1981	Feature	English; Spanish	US		Woman catches a predator who is spying on her deafblind sister (played by sighted hearing actor Jennifer Jason Leigh)	deaf victim/witness; deafblind character; hearing actor in deaf role; hearing stalker/killer; sibling relationship; survival narrative; thriller	
The Fall		Tarsem Singh	2006	Feature	English; Latin; Romanian	India; South Africa; US		Injured stuntman tells girl patient stories while both are hospitalised; includes deaf side character	friendship	
The Family Stone		Thomas Bezucha	2005	Feature	American Sign Language (ASL); English	US	Disney+	Family dramedy with deaf sibling, includes dramatic scene in which grandmother asserts her deaf grandson's normality	deaf child; deaf child hearing parent; family drama; sibling relationship	
Family Ties		Asaad Kelada	1988	Series	American Sign Language (ASL); English	US		In season 6 episode 25 ("Sign of the Times") of this family drama series, Josh (Michael J Fox) befriends a deaf boy in his kindergarten class (series duration 1982-89)	friendship; school/university setting	
The Family Tree		Carol Evan McKeand	1983	Series	English	US		Blended family dramedy; mother with three sons, one deaf, meets man with one hearing son	comedy; deaf child; deaf child hearing parent; drama; family dram	
Fawlty Towers		Bob Spiers	1979	Series	English; Spanish	UK		Season 2 episode 1 ("Communications Problems") of this farce comedy includes confusion with a hard of hearing guest who cannot understand the characters (series duration 1975-79)	ageing deaf character as comic relief; comedy	
The Fear	O Fovos	Kostas Manoussakis	1966	Feature	Greek	Greece		A resented son works alone on the family farm with a deaf servant, who he harasses then rapes and kills	deaf servant; deaf victim/witness; family drama; hearing stalker/killer	
The Five Senses		Jeremy Podeswa	1999	Feature	English; French; Italian	Canada		Music comedy drama about the five senses includes a deaf character	comedy; drama; music	
Flesh and Fury		Joseph Pevney	1952	Feature	American Sign Language (ASL); English	US		Story of a deaf boxer exploited by a gold-digging femme fatale type	sports; romance; thriller	
Follow That Bird		Ken Kwapis	1985	Children's feature	American Sign Language (ASL); English	US		Big Bird Sesame Street children's movie includes dialogue in American Sign Language (ASL) and long-serving Sesame Street librarian played by deaf actor Linda Bove	deaf actor	
For a Deaf Son		Rob Tranchin	1993	Documentary	English	US		Documentary about family whose one-year-old is found to be profoundly deaf	born deaf; deaf child; deaf child hearing parent	
For the First Time		Rudolph Mate	1959	Feature	English	Italy; US; West Germany		Opera singer falls in love with deaf woman	deaf-hearing relationship; music; romance	
For You, Mr Bell		William Canning	1971	Documentary	English	Canada		Documentary short about Alexander Graham Bell’s career, mostly focusing on the invention of the telephone but also including his oralist and eugenicist research on deafness (though not critical)	Alexander Graham Bell; oralism (repression of sign)	
	Första kärleken	Leif Magnusson	1992	Series	Swedish; Swedish Sign Language (TSP)	Sweden		Drama mini-series in which a young hearing boy meets a deaf girl next door	deaf-hearing relationship; drama; romance	
Four Weddings and a Funeral		Mike Newell	1994	Feature	British Sign Language (BSL); English	UK		Romantic comedy includes deaf brother of main character	comedy; queer; romance; romantic comedy; sibling relationship	
Freddy's Dead: The Final Nightmare		Rachel Talalay	1991	Feature	English	US		Nightmare on Elm Street sequel, Freddy Krueger pursues teen boy who's deaf in one ear from abuse by his mother. Character wears a hearing aid and Freddy taunts him with ableist phrases ('lend me your ear', 'nice hearing from you')	deafened by accident/violence; hearing aid	
The French as Seen by…	Les Français vus par	David Lynch	1988	Series	English	US		Episode 2 of this 5 ("The Cowboy and the Frenchman") episode series of short films made about stereotypes and visions of the French is an absurdist view of French clichés by Lynch, including Harry Dean Stanton as a cowboy deafened by a pistol shot	comedy; deafened by accident/violence	
From Silence to Sound		Chase Matthews	2007	Documentary	American Sign Language (ASL); English	US		Documentary about a deaf man who decides to get a cochlear implant	cochlear implant	
Fugitive Lovers		Richard Boleslawski	1934	Feature	American Sign Language (ASL); English	US		Gangster-meets-chorus-girl story, IMDb lists American Sign Language (ASL)	romance; thriller	
Fuzz		Richard A. Colla	1972	Feature	American Sign Language (ASL); English; Spanish	US		Burt Reynolds comedy action movie includes two deaf characters: a layered portrayal from his deaf wife, and a one-dimensional portrayal of an arch criminal named 'The Deaf Man' or 'El Sordo'	action; comedy; deaf villain/suspect	
